"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 10:53:43 EET 2022","Wed Feb 02 10:53:44 EET 2022","1253","","404 error page functionality testing.","","404 error page functionality testing.","#6 Player can click ""Go to lobby"" button and after that it will redirect to Home page.","#6 Player can click ""Go to lobby"" button and after that it will redirect to Home page.",""
"passed","Wed Feb 02 10:55:50 EET 2022","Wed Feb 02 10:56:05 EET 2022","15351","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#6 Player can close the Deposit Limits Edit modal","#6 Player can close the Deposit Limits Edit modal",""
"passed","Wed Feb 02 10:59:45 EET 2022","Wed Feb 02 11:00:00 EET 2022","15006","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#21 Player can close 'History' modal.","#21 Player can close 'History' modal.",""
"passed","Wed Feb 02 11:00:48 EET 2022","Wed Feb 02 11:00:51 EET 2022","3730","","Registration > Step 2","","Registration > Step 2","#06 User cannot enter less that 2 characters into step 2 name input fields.","#06 User cannot enter less that 2 characters into step 2 name input fields.",""
"passed","Wed Feb 02 10:56:59 EET 2022","Wed Feb 02 10:57:11 EET 2022","12603","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#8 Player can choose 1 week option for 'Take A Break' and this option should be selected.","#8 Player can choose 1 week option for 'Take A Break' and this option should be selected.",""
"passed","Wed Feb 02 10:58:14 EET 2022","Wed Feb 02 10:58:28 EET 2022","13626","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#14 Player can continue with chosen 6 weeks option to 'Take A Break' and confirming modal should display.","#14 Player can continue with chosen 6 weeks option to 'Take A Break' and confirming modal should display.",""
"passed","Wed Feb 02 10:54:42 EET 2022","Wed Feb 02 10:54:53 EET 2022","10705","","Homepage","","Homepage","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted","#9 Bonus amount is updated correctly in the dropdown details when bonus balance is adjusted",""
"passed","Wed Feb 02 11:06:21 EET 2022","Wed Feb 02 11:06:32 EET 2022","11200","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#13 Player inputs into the password fields should be masked by default.","#13 Player inputs into the password fields should be masked by default.",""
"passed","Wed Feb 02 11:04:41 EET 2022","Wed Feb 02 11:04:59 EET 2022","17754","","Spin Zone functionality testing","","Spin Zone functionality testing","#5 Player can open 'Deposit' modal","#5 Player can open 'Deposit' modal",""
"passed","Wed Feb 02 10:53:30 EET 2022","Wed Feb 02 10:53:31 EET 2022","1798","","Expired Link Error","","Expired Link Error","#3 User can come to the Home page from ""Expired Link"" error page. ","#3 User can come to the Home page from ""Expired Link"" error page. ",""
"passed","Wed Feb 02 10:53:31 EET 2022","Wed Feb 02 10:53:33 EET 2022","1852","","Expired Link Error","","Expired Link Error","#4 User can click on Join button and see Register page. ","#4 User can click on Join button and see Register page. ",""
"passed","Wed Feb 02 10:58:44 EET 2022","Wed Feb 02 10:59:01 EET 2022","16650","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#17 Player cannot set Deposit Limit higher than the maximum amount.","#17 Player cannot set Deposit Limit higher than the maximum amount.",""
"passed","Wed Feb 02 10:59:55 EET 2022","Wed Feb 02 11:00:10 EET 2022","14978","","Recover Password","","Recover Password","#05 Player receives 'Sent' success feedback on submitting a valid email address.","#05 Player receives 'Sent' success feedback on submitting a valid email address.",""
"failed","Wed Feb 02 11:04:46 EET 2022","Wed Feb 02 11:04:55 EET 2022","9595","","My Account -> Deposit","","My Account -> Deposit","#6 Check user is able to select PayPal payment method and is provided with the correct information for this payment method","#6 Check user is able to select PayPal payment method and is provided with the correct information for this payment method",""
"passed","Wed Feb 02 11:06:22 EET 2022","Wed Feb 02 11:06:34 EET 2022","12368","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#15 Player can continue with chosen 2 years option to 'Self Exclusion' and confirming modal should display.","#15 Player can continue with chosen 2 years option to 'Self Exclusion' and confirming modal should display.",""
"passed","Wed Feb 02 11:03:42 EET 2022","Wed Feb 02 11:03:56 EET 2022","14145","","Spin Zone functionality testing","","Spin Zone functionality testing","#1 Player can see Menu button in the top left of the screen","#1 Player can see Menu button in the top left of the screen",""
"passed","Wed Feb 02 11:05:14 EET 2022","Wed Feb 02 11:05:29 EET 2022","14321","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#8 Player can edit their preferences and select just the Phone toggle, which upon saving updates the account area accordingly","#8 Player can edit their preferences and select just the Phone toggle, which upon saving updates the account area accordingly",""
"passed","Wed Feb 02 10:57:03 EET 2022","Wed Feb 02 10:57:19 EET 2022","15889","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#11 Player can successfully set a weekly deposit limit if not already set.","#11 Player can successfully set a weekly deposit limit if not already set.",""
"passed","Wed Feb 02 11:01:29 EET 2022","Wed Feb 02 11:01:36 EET 2022","7019","","Registration > Step 3","","Registration > Step 3","#08 User cannot enter invalid characters into the Address Line 2 field.","#08 User cannot enter invalid characters into the Address Line 2 field.",""
"passed","Wed Feb 02 10:53:39 EET 2022","Wed Feb 02 10:53:48 EET 2022","9369","","Inbox functionality testing","","Inbox functionality testing","#1 Unread message count is present on Inbox navigation bar icon if player has unread messages","#1 Unread message count is present on Inbox navigation bar icon if player has unread messages",""
"passed","Wed Feb 02 11:00:17 EET 2022","Wed Feb 02 11:00:32 EET 2022","14725","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#23 Player can close 'How deposit limits work' modal.","#23 Player can close 'How deposit limits work' modal.",""
"passed","Wed Feb 02 11:00:40 EET 2022","Wed Feb 02 11:00:44 EET 2022","3255","","Registration > Step 2","","Registration > Step 2","#04 Last Name is a mandatory field.","#04 Last Name is a mandatory field.",""
"passed","Wed Feb 02 11:00:25 EET 2022","Wed Feb 02 11:00:28 EET 2022","3091","","Registration > Step 1","","Registration > Step 1","#12 User can successfully enter email address with local domain (.de).","#12 User can successfully enter email address with local domain (.de).",""
"passed","Wed Feb 02 10:53:40 EET 2022","Wed Feb 02 10:53:49 EET 2022","9385","","Homepage","","Homepage","#3 The detailed balance card is shown when the dropdown chevron is clicked","#3 The detailed balance card is shown when the dropdown chevron is clicked",""
"passed","Wed Feb 02 10:53:40 EET 2022","Wed Feb 02 10:53:44 EET 2022","4099","","Expired Link Error","","Expired Link Error","#8 User can enter an email and reset the password (Sent button with a tick will be displayed).","#8 User can enter an email and reset the password (Sent button with a tick will be displayed).",""
"passed","Wed Feb 02 10:54:18 EET 2022","Wed Feb 02 10:54:29 EET 2022","11119","","Homepage","","Homepage","#7 Balance preview updates correctly upon refresh when a users balance is adjusted","#7 Balance preview updates correctly upon refresh when a users balance is adjusted",""
"passed","Wed Feb 02 11:00:33 EET 2022","Wed Feb 02 11:00:36 EET 2022","2969","","Registration > Step 1","","Registration > Step 1","#28 User can enter valid details on Step 1 and progress to Step 2 of the registration process.","#28 User can enter valid details on Step 1 and progress to Step 2 of the registration process.",""
"passed","Wed Feb 02 10:53:23 EET 2022","Wed Feb 02 10:53:24 EET 2022","1260","","User come to the 'Planned Maintenance' error page","","User come to the 'Planned Maintenance' error page","#1 Content of ""Planned Maintenance"" error page","#1 Content of ""Planned Maintenance"" error page",""
"passed","Wed Feb 02 11:04:59 EET 2022","Wed Feb 02 11:05:12 EET 2022","13497","","Spin Zone functionality testing","","Spin Zone functionality testing","#6 Player can see total bonus balance","#6 Player can see total bonus balance",""
"passed","Wed Feb 02 10:56:06 EET 2022","Wed Feb 02 10:56:15 EET 2022","9403","","Inbox functionality testing","","Inbox functionality testing","#14 Unread message count is not present on Inbox navigation bar icon if player has no unread messages","#14 Unread message count is not present on Inbox navigation bar icon if player has no unread messages",""
"passed","Wed Feb 02 10:54:27 EET 2022","Wed Feb 02 10:54:32 EET 2022","5102","","Log In","","Log In","#03 Password field is a mandatory field.","#03 Password field is a mandatory field.",""
"passed","Wed Feb 02 11:05:00 EET 2022","Wed Feb 02 11:05:11 EET 2022","11700","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#06 Player is displayed with the password requirements when they start to enter a new password.","#06 Player is displayed with the password requirements when they start to enter a new password.",""
"passed","Wed Feb 02 11:04:10 EET 2022","Wed Feb 02 11:04:22 EET 2022","12356","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#02 Current Password is a mandatory field.","#02 Current Password is a mandatory field.",""
"passed","Wed Feb 02 11:00:51 EET 2022","Wed Feb 02 11:00:55 EET 2022","3656","","Registration > Step 2","","Registration > Step 2","#07 User cannot enter numbers into step 2 name input fields.","#07 User cannot enter numbers into step 2 name input fields.",""
"passed","Wed Feb 02 10:59:50 EET 2022","Wed Feb 02 10:59:53 EET 2022","2973","","Registration > Step 1","","Registration > Step 1","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Wed Feb 02 10:54:22 EET 2022","Wed Feb 02 10:54:27 EET 2022","4622","","Log In","","Log In","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Wed Feb 02 11:01:27 EET 2022","Wed Feb 02 11:01:39 EET 2022","11881","","Registration > Step 4","","Registration > Step 4","#10 User can click and view the T&Cs.","#10 User can click and view the T&Cs.",""
